id,name,type,description,prerequisites,prerequisite_feats,benefit,normal,special,source,fulltext,teamwork,critical,grit,style,performance,racial,companion_familiar,race_name,note,goal,completion_benefit,multiples,suggested_traits,prerequisite_skills,panache,betrayal,targeting,esoteric,stare,weapon_mastery,item_mastery,armor_mastery,shield_mastery
40,Deft Hands,General,You have exceptional manual dexterity.,,,"You get a +2 bonus on Disable Device and Sleight of Hand skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Deft Hands</p><div style=""clear: both;""></div></div><div><h5>You have exceptional manual dexterity.<h5><b>Benefit: </b>You get a +2 bonus on Disable Device and Sleight of Hand skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
41,Diehard,General,"You are especially hard to kill. Not only do your wounds automatically stabilize when grievously injured, but you can remain conscious and continue to act even at death's door.",Endurance.,Endurance,"When your hit point total is below 0, but you are not dead, you automatically stabilize. You do not need to make a Constitution check each round to avoid losing additional hit points. You may choose to act as if you were disabled, rather than dying. You must make this decision as soon as you are reduced to negative hit points (even if it isn't your turn). If you do not choose to act as if you were disabled, you immediately fall unconscious. When using this feat, you are staggered. You can take a move action without further injuring yourself, but if you perform any standard action (or any other action deemed as strenuous, including some swift actions, such as casting a quickened spell) you take 1 point of damage after completing the act. If your negative hit points are equal to or greater than your Constitution score, you immediately die.",A character without this feat who is reduced to negative hit points is unconscious and dying.,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Diehard</p><div style=""clear: both;""></div></div><div><h5>You are especially hard to kill. Not only do your wounds automatically stabilize when grievously injured, but you can remain conscious and continue to act even at death's door.<h5><b>Prerequisites: </b>Endurance.</h5><h5><b>Benefit: </b>When your hit point total is below 0, but you are not dead, you automatically stabilize. You do not need to make a Constitution check each round to avoid losing additional hit points. You may choose to act as if you were disabled, rather than dying. You must make this decision as soon as you are reduced to negative hit points (even if it isn't your turn). If you do not choose to act as if you were disabled, you immediately fall unconscious. When using this feat, you are staggered. You can take a move action without further injuring yourself, but if you perform any standard action (or any other action deemed as strenuous, including some swift actions, such as casting a quickened spell) you take 1 point of damage after completing the act. If your negative hit points are equal to or greater than your Constitution score, you immediately die.</h5><h5><b>Normal: </b>A character without this feat who is reduced to negative hit points is unconscious and dying.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
42,Disruptive,Combat,Your training makes it difficult for enemy spellcasters to safely cast spells near you.,6th-level fighter.,,"The DC to cast spells defensively increases by +4 for all enemies that are within your threatened area. This increase to casting spells defensively only applies if you are aware of the enemy's location and are capable of taking an attack of opportunity. If you can only take one attack of opportunity per round and have already used that attack, this increase does not apply.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Disruptive (Combat)</p><div style=""clear: both;""></div></div><div><h5>Your training makes it difficult for enemy spellcasters to safely cast spells near you.<h5><b>Prerequisites: </b>6th-level fighter.</h5><h5><b>Benefit: </b>The DC to cast spells defensively increases by +4 for all enemies that are within your threatened area. This increase to casting spells defensively only applies if you are aware of the enemy's location and are capable of taking an attack of opportunity. If you can only take one attack of opportunity per round and have already used that attack, this increase does not apply.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
43,Dodge,Combat,Your training and ref lexes allow you to react swiftly to avoid an opponents' attacks.,Dex 13.,,You gain a +1 dodge bonus to your AC. A condition that makes you lose your Dex bonus to AC also makes you lose the benefits of this feat.,,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Dodge (Combat)</p><div style=""clear: both;""></div></div><div><h5>Your training and ref lexes allow you to react swiftly to avoid an opponents' attacks.<h5><b>Prerequisites: </b>Dex 13.</h5><h5><b>Benefit: </b>You gain a +1 dodge bonus to your AC. A condition that makes you lose your Dex bonus to AC also makes you lose the benefits of this feat.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
44,Double Slice,Combat,Your off-hand weapon while dual-wielding strikes with greater power.,"Dex 15, Two-Weapon Fighting.",Two-Weapon Fighting,Add your Strength bonus to damage rolls made with your off-hand weapon.,You normally add only half of your Strength modifier to damage rolls made with a weapon wielded in your off-hand.,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Double Slice (Combat)</p><div style=""clear: both;""></div></div><div><h5>Your off-hand weapon while dual-wielding strikes with greater power.<h5><b>Prerequisites: </b>Dex 15, Two-Weapon Fighting.</h5><h5><b>Benefit: </b>Add your Strength bonus to damage rolls made with your off-hand weapon.</h5><h5><b>Normal: </b>You normally add only half of your Strength modifier to damage rolls made with a weapon wielded in your off-hand.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
45,Elemental Channel,General,"Choose one elemental subtype, such as air, earth, fire, or water. You can channel your divine energy to harm or heal outsiders that possess your chosen elemental subtype.",Channel energy class feature.,,"Instead of its normal effect, you can choose to have your ability to channel energy heal or harm outsiders of your chosen elemental subtype. You must make this choice each time you channel energy. If you choose to heal or harm creatures of your elemental subtype, your channel energy has no affect on other creatures. The amount of damage healed or dealt and the DC to halve the damage is otherwise unchanged.",,"You can gain this feat multiple times. Its effects do not stack. Each time you take this feat, it applies to a new elemental subtype.",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Elemental Channel</p><div style=""clear: both;""></div></div><div><h5>Choose one elemental subtype, such as air, earth, fire, or water. You can channel your divine energy to harm or heal outsiders that possess your chosen elemental subtype.<h5><b>Prerequisites: </b>Channel energy class feature.</h5><h5><b>Benefit: </b>Instead of its normal effect, you can choose to have your ability to channel energy heal or harm outsiders of your chosen elemental subtype. You must make this choice each time you channel energy. If you choose to heal or harm creatures of your elemental subtype, your channel energy has no affect on other creatures. The amount of damage healed or dealt and the DC to halve the damage is otherwise unchanged.</h5><h5><b>Special: </b>You can gain this feat multiple times. Its effects do not stack. Each time you take this feat, it applies to a new elemental subtype.</h5></div>",0,0,0,0,0,0,0,,,,,1,,,0,0,0,0,0,0,0,0,0
46,Empower Spell,Metamagic,"You can increase the power of your spells, causing them to deal more damage.",,,"All variable, numeric effects of an empowered spell are increased by half, including bonuses to those dice rolls. Saving throws and opposed rolls are not affected, nor are spells without random variables. An empowered spell uses up a spell slot two levels higher than the spell's actual level.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Empower Spell (Metamagic)</p><div style=""clear: both;""></div></div><div><h5>You can increase the power of your spells, causing them to deal more damage.<h5><b>Benefit: </b>All variable, numeric effects of an empowered spell are increased by half, including bonuses to those dice rolls. Saving throws and opposed rolls are not affected, nor are spells without random variables. An empowered spell uses up a spell slot two levels higher than the spell's actual level.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
47,Endurance,General,Harsh conditions or long exertions do not easily tire you.,,,You gain a +4 bonus on the following checks and saves: Swim checks made to resist nonlethal damage from exhaustion; Constitution checks made to continue running; Constitution checks made to avoid nonlethal damage from a forced march; Constitution checks made to hold your breath; Constitution checks made to avoid nonlethal damage from starvation or thirst; Fortitude saves made to avoid nonlethal damage from hot or cold environments; and Fortitude saves made to resist damage from suffocation. You may sleep in light or medium armor without becoming fatigued.,A character without this feat who sleeps in medium or heavier armor is fatigued the next day.,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Endurance</p><div style=""clear: both;""></div></div><div><h5>Harsh conditions or long exertions do not easily tire you.<h5><b>Benefit: </b>You gain a +4 bonus on the following checks and saves: Swim checks made to resist nonlethal damage from exhaustion; Constitution checks made to continue running; Constitution checks made to avoid nonlethal damage from a forced march; Constitution checks made to hold your breath; Constitution checks made to avoid nonlethal damage from starvation or thirst; Fortitude saves made to avoid nonlethal damage from hot or cold environments; and Fortitude saves made to resist damage from suffocation. You may sleep in light or medium armor without becoming fatigued.</h5><h5><b>Normal: </b>A character without this feat who sleeps in medium or heavier armor is fatigued the next day.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
48,Enlarge Spell,Metamagic,You can increase the range of your spells.,,,"You can alter a spell with a range of close, medium, or long to increase its range by 100%. An enlarged spell with a range of close now has a range of 50 ft. + 5 ft./ level, while medium-range spells have a range of 200 ft. + 20 ft./level and long-range spells have a range of 800 ft. + 80 ft./level. An enlarged spell uses up a spell slot one level higher than the spell's actual level. Spells whose ranges are not defined by distance, as well as spells whose ranges are not close, medium, or long, do not benefit from this feat.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Enlarge Spell (Metamagic)</p><div style=""clear: both;""></div></div><div><h5>You can increase the range of your spells.<h5><b>Benefit: </b>You can alter a spell with a range of close, medium, or long to increase its range by 100%. An enlarged spell with a range of close now has a range of 50 ft. + 5 ft./ level, while medium-range spells have a range of 200 ft. + 20 ft./level and long-range spells have a range of 800 ft. + 80 ft./level. An enlarged spell uses up a spell slot one level higher than the spell's actual level. Spells whose ranges are not defined by distance, as well as spells whose ranges are not close, medium, or long, do not benefit from this feat.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
49,Eschew Materials,General,You can cast many spells without needing to utilize minor material components.,,,"You can cast any spell with a material component costing 1 gp or less without needing that component. The casting of the spell still provokes attacks of opportunity as normal. If the spell requires a material component that costs more than 1 gp, you must have the material component on hand to cast the spell, as normal.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Eschew Materials</p><div style=""clear: both;""></div></div><div><h5>You can cast many spells without needing to utilize minor material components.<h5><b>Benefit: </b>You can cast any spell with a material component costing 1 gp or less without needing that component. The casting of the spell still provokes attacks of opportunity as normal. If the spell requires a material component that costs more than 1 gp, you must have the material component on hand to cast the spell, as normal.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
50,Exhausting Critical,Combat,Your critical hits cause opponents to become exhausted.,"Critical Focus, Tiring Critical, base attack bonus +15.","Critical Focus, Tiring Critical","When you score a critical hit on a foe, your target immediately becomes exhausted. This feat has no effect on exhausted creatures.",,You can only apply the effects of one critical feat to a given critical hit unless you possess the Critical Mastery feat.,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Exhausting Critical (Combat, Critical)</p><div style=""clear: both;""></div></div><div><h5>Your critical hits cause opponents to become exhausted.<h5><b>Prerequisites: </b>Critical Focus, Tiring Critical, base attack bonus +15.</h5><h5><b>Benefit: </b>When you score a critical hit on a foe, your target immediately becomes exhausted. This feat has no effect on exhausted creatures.</h5><h5><b>Special: </b>You can only apply the effects of one critical feat to a given critical hit unless you possess the Critical Mastery feat.</h5></div>",0,1,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
51,Exotic Weapon Proficiency,Combat,"Choose one type of exotic weapon, such as the spiked chain or whip. You understand how to use that type of exotic weapon in combat, and can utilize any special tricks or qualities that exotic weapon might allow.",Base attack bonus +1.,,You make attack rolls with the weapon normally.,A character who uses a weapon with which he is not proficient takes a -4 penalty on attack rolls.,"You can gain Exotic Weapon Proficiency multiple times. Each time you take the feat, it applies to a new type of exotic weapon.",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Exotic Weapon Proficiency (Combat)</p><div style=""clear: both;""></div></div><div><h5>Choose one type of exotic weapon, such as the spiked chain or whip. You understand how to use that type of exotic weapon in combat, and can utilize any special tricks or qualities that exotic weapon might allow.<h5><b>Prerequisites: </b>Base attack bonus +1.</h5><h5><b>Benefit: </b>You make attack rolls with the weapon normally.</h5><h5><b>Normal: </b>A character who uses a weapon with which he is not proficient takes a -4 penalty on attack rolls.</h5><h5><b>Special: </b>You can gain Exotic Weapon Proficiency multiple times. Each time you take the feat, it applies to a new type of exotic weapon.</h5></div>",0,0,0,0,0,0,0,,,,,1,,,0,0,0,0,0,0,0,0,0
52,Extend Spell,Metamagic,You can make your spells last twice as long.,,,"An extended spell lasts twice as long as normal. A spell with a duration of concentration, instantaneous, or permanent is not affected by this feat. An extended spell uses up a spell slot one level higher than the spell's actual level.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Extend Spell (Metamagic)</p><div style=""clear: both;""></div></div><div><h5>You can make your spells last twice as long.<h5><b>Benefit: </b>An extended spell lasts twice as long as normal. A spell with a duration of concentration, instantaneous, or permanent is not affected by this feat. An extended spell uses up a spell slot one level higher than the spell's actual level.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
53,Extra Channel,General,You can channel divine energy more often.,Channel energy class feature.,,You can channel energy two additional times per day.,,"If a paladin with the ability to channel positive energy takes this feat, she can use lay on hands four additional times a day, but only to channel positive energy.",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Extra Channel</p><div style=""clear: both;""></div></div><div><h5>You can channel divine energy more often.<h5><b>Prerequisites: </b>Channel energy class feature.</h5><h5><b>Benefit: </b>You can channel energy two additional times per day.</h5><h5><b>Special: </b>If a paladin with the ability to channel positive energy takes this feat, she can use lay on hands four additional times a day, but only to channel positive energy.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
54,Extra Ki,General,You can use your ki pool more times per day than most.,Ki pool class feature.,,Your ki pool increases by 2.,,You can gain Extra Ki multiple times. Its effects stack.,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Extra Ki</p><div style=""clear: both;""></div></div><div><h5>You can use your <i>ki</i> pool more times per day than most.<h5><b>Prerequisites: </b><i>Ki</i> pool class feature.</h5><h5><b>Benefit: </b>Your <i>ki</i> pool increases by 2.</h5><h5><b>Special: </b>You can gain Extra <i>Ki</i> multiple times. Its effects stack.</h5></div>",0,0,0,0,0,0,0,,,,,1,,,0,0,0,0,0,0,0,0,0
55,Extra Lay On Hands,General,You can use your lay on hands ability more often.,Lay on hands class feature.,,You can use your lay on hands ability two additional times per day.,,You can gain Extra Lay On Hands multiple times. Its effects stack.,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Extra Lay On Hands</p><div style=""clear: both;""></div></div><div><h5>You can use your lay on hands ability more often.<h5><b>Prerequisites: </b>Lay on hands class feature.</h5><h5><b>Benefit: </b>You can use your lay on hands ability two additional times per day.</h5><h5><b>Special: </b>You can gain Extra Lay On Hands multiple times. Its effects stack.</h5></div>",0,0,0,0,0,0,0,,,,,1,,,0,0,0,0,0,0,0,0,0
56,Extra Mercy,General,Your lay on hands ability adds an additional mercy.,"Lay on hands class feature, mercy class feature.",,"Select one additional mercy for which you qualify. When you use lay on hands to heal damage to one target, it also receives the additional effects of this mercy.",,"You can gain this feat multiple times. Its effects do not stack. Each time you take this feat, select a new mercy.",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Extra Mercy</p><div style=""clear: both;""></div></div><div><h5>Your lay on hands ability adds an additional mercy.<h5><b>Prerequisites: </b>Lay on hands class feature, mercy class feature.</h5><h5><b>Benefit: </b>Select one additional mercy for which you qualify. When you use lay on hands to heal damage to one target, it also receives the additional effects of this mercy.</h5><h5><b>Special: </b>You can gain this feat multiple times. Its effects do not stack. Each time you take this feat, select a new mercy.</h5></div>",0,0,0,0,0,0,0,,,,,1,,,0,0,0,0,0,0,0,0,0
57,Extra Performance,General,You can use your bardic performance ability more often than normal.,Bardic performance class feature.,,You can use bardic performance for 6 additional rounds per day.,,You can gain Extra Performance multiple times. Its effects stack.,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Extra Performance</p><div style=""clear: both;""></div></div><div><h5>You can use your bardic performance ability more often than normal.<h5><b>Prerequisites: </b>Bardic performance class feature.</h5><h5><b>Benefit: </b>You can use bardic performance for 6 additional rounds per day.</h5><h5><b>Special: </b>You can gain Extra Performance multiple times. Its effects stack.</h5></div>",0,0,0,0,0,0,0,,,,,1,,,0,0,0,0,0,0,0,0,0
58,Extra Rage,General,You can use your rage ability more than normal.,Rage class feature.,,You can rage for 6 additional rounds per day.,,You can gain Extra Rage multiple times. Its effects stack.,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Extra Rage</p><div style=""clear: both;""></div></div><div><h5>You can use your rage ability more than normal.<h5><b>Prerequisites: </b>Rage class feature.</h5><h5><b>Benefit: </b>You can rage for 6 additional rounds per day.</h5><h5><b>Special: </b>You can gain Extra Rage multiple times. Its effects stack.</h5></div>",0,0,0,0,0,0,0,,,,,1,,,0,0,0,0,0,0,0,0,0
59,Far Shot,Combat,You are more accurate at longer ranges.,Point-Blank Shot.,Point-Blank Shot,You only suffer a -1 penalty per full range increment between you and your target when using a ranged weapon.,You suffer a -2 penalty per full range increment between you and your target.,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Far Shot (Combat)</p><div style=""clear: both;""></div></div><div><h5>You are more accurate at longer ranges.<h5><b>Prerequisites: </b>Point-Blank Shot.</h5><h5><b>Benefit: </b>You only suffer a -1 penalty per full range increment between you and your target when using a ranged weapon.</h5><h5><b>Normal: </b>You suffer a -2 penalty per full range increment between you and your target.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
60,Fleet,General,You are faster than most.,,,"While you are wearing light or no armor, your base speed increases by 5 feet. You lose the benefits of this feat if you carry a medium or heavy load.",,You can take this feat multiple times. The effects stack.,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Fleet</p><div style=""clear: both;""></div></div><div><h5>You are faster than most.<h5><b>Benefit: </b>While you are wearing light or no armor, your base speed increases by 5 feet. You lose the benefits of this feat if you carry a medium or heavy load.</h5><h5><b>Special: </b>You can take this feat multiple times. The effects stack.</h5></div>",0,0,0,0,0,0,0,,,,,1,,,0,0,0,0,0,0,0,0,0
61,Forge Ring,Item Creation,You can create magic rings.,Caster level 7th.,,"You can create magic rings. Crafting a ring takes 1 day for each 1,000 gp in its base price. To craft a ring, you must use up raw materials costing half of the base price. See the magic item creation rules in Chapter 15 for more information. You can also mend a broken ring if it is one that you could make. Doing so costs half the raw materials and half the time it would take to forge that ring in the first place.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Forge Ring (Item Creation)</p><div style=""clear: both;""></div></div><div><h5>You can create magic rings.<h5><b>Prerequisites: </b>Caster level 7th.</h5><h5><b>Benefit: </b>You can create magic rings. Crafting a ring takes 1 day for each 1,000 gp in its base price. To craft a ring, you must use up raw materials costing half of the base price. See the magic item creation rules in Chapter 15 for more information. You can also mend a broken ring if it is one that you could make. Doing so costs half the raw materials and half the time it would take to forge that ring in the first place.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
62,Gorgon's Fist,Combat,"With one well-placed blow, you leave your target reeling.","Improved Unarmed Strike, Scorpion Style, base attack bonus +6.","Improved Unarmed Strike, Scorpion Style","As a standard action, make a single unarmed melee attack against a foe whose speed is reduced (such as from Scorpion Style). If the attack hits, you deal damage normally and the target is staggered until the end of your next turn unless it makes a Fortitude saving throw (DC 10 + 1/2 your character level + your Wis modifier). This feat has no effect on targets that are staggered.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Gorgon's Fist (Combat)</p><div style=""clear: both;""></div></div><div><h5>With one well-placed blow, you leave your target reeling.<h5><b>Prerequisites: </b>Improved Unarmed Strike, Scorpion Style, base attack bonus +6.</h5><h5><b>Benefit: </b>As a standard action, make a single unarmed melee attack against a foe whose speed is reduced (such as from Scorpion Style). If the attack hits, you deal damage normally and the target is staggered until the end of your next turn unless it makes a Fortitude saving throw (DC 10 + 1/2 your character level + your Wis modifier). This feat has no effect on targets that are staggered.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
63,Great Cleave,Combat,You can strike many adjacent foes with a single blow.,"Str 13, Cleave, Power Attack, base attack bonus +4.","Cleave, Power Attack","As a standard action, you can make a single attack at your full base attack bonus against a foe within reach. If you hit, you deal damage normally and can make an additional attack (using your full base attack bonus) against a foe that is adjacent to the previous foe and also within reach. If you hit, you can continue to make attacks against foes adjacent to the previous foe, so long as they are within your reach. You cannot attack an individual foe more than once during this attack action. When you use this feat, you take a -2 penalty to your Armor Class until your next turn.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Great Cleave (Combat)</p><div style=""clear: both;""></div></div><div><h5>You can strike many adjacent foes with a single blow.<h5><b>Prerequisites: </b>Str 13, Cleave, Power Attack, base attack bonus +4.</h5><h5><b>Benefit: </b>As a standard action, you can make a single attack at your full base attack bonus against a foe within reach. If you hit, you deal damage normally and can make an additional attack (using your full base attack bonus) against a foe that is adjacent to the previous foe and also within reach. If you hit, you can continue to make attacks against foes adjacent to the previous foe, so long as they are within your reach. You cannot attack an individual foe more than once during this attack action. When you use this feat, you take a -2 penalty to your Armor Class until your next turn.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
64,Great Fortitude,General,"You are resistant to poisons, diseases, and other maladies.",,,You get a +2 bonus on all Fortitude saving throws.,,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Great Fortitude</p><div style=""clear: both;""></div></div><div><h5>You are resistant to poisons, diseases, and other maladies.<h5><b>Benefit: </b>You get a +2 bonus on all Fortitude saving throws.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
65,Greater Bull Rush,Combat,Your bull rush attacks throw enemies off balance.,"Improved Bull Rush, Power Attack, base attack bonus +6, Str 13.","Improved Bull Rush, Power Attack","You receive a +2 bonus on checks made to bull rush a foe. This bonus stacks with the bonus granted by Improved Bull Rush. Whenever you bull rush an opponent, his movement provokes attacks of opportunity from all of your allies (but not you).",Creatures moved by bull rush do not provoke attacks of opportunity.,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Greater Bull Rush (Combat)</p><div style=""clear: both;""></div></div><div><h5>Your bull rush attacks throw enemies off balance.<h5><b>Prerequisites: </b>Improved Bull Rush, Power Attack, base attack bonus +6, Str 13.</h5><h5><b>Benefit: </b>You receive a +2 bonus on checks made to bull rush a foe. This bonus stacks with the bonus granted by Improved Bull Rush. Whenever you bull rush an opponent, his movement provokes attacks of opportunity from all of your allies (but not you).</h5><h5><b>Normal: </b>Creatures moved by bull rush do not provoke attacks of opportunity.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
66,Greater Disarm,Combat,You can knock weapons far from an enemy's grasp.,"Combat Expertise, Improved Disarm, base attack bonus +6, Int 13.","Combat Expertise, Improved Disarm","You receive a +2 bonus on checks made to disarm a foe. This bonus stacks with the bonus granted by Improved Disarm. Whenever you successfully disarm an opponent, the weapon lands 15 feet away from its previous wielder, in a random direction.",Disarmed weapons and gear land at the feet of the disarmed creature.,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Greater Disarm (Combat)</p><div style=""clear: both;""></div></div><div><h5>You can knock weapons far from an enemy's grasp.<h5><b>Prerequisites: </b>Combat Expertise, Improved Disarm, base attack bonus +6, Int 13.</h5><h5><b>Benefit: </b>You receive a +2 bonus on checks made to disarm a foe. This bonus stacks with the bonus granted by Improved Disarm. Whenever you successfully disarm an opponent, the weapon lands 15 feet away from its previous wielder, in a random direction.</h5><h5><b>Normal: </b>Disarmed weapons and gear land at the feet of the disarmed creature.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
67,Greater Feint,Combat,You are skilled at making foes overreact to your attacks.,"Combat Expertise, Improved Feint, base attack bonus +6, Int 13.","Combat Expertise, Improved Feint","Whenever you use feint to cause an opponent to lose his Dexterity bonus, he loses that bonus until the beginning of your next turn, in addition to losing his Dexterity bonus against your next attack.",A creature you feint loses its Dexterity bonus against your next attack.,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Greater Feint (Combat)</p><div style=""clear: both;""></div></div><div><h5>You are skilled at making foes overreact to your attacks.<h5><b>Prerequisites: </b>Combat Expertise, Improved Feint, base attack bonus +6, Int 13.</h5><h5><b>Benefit: </b>Whenever you use feint to cause an opponent to lose his Dexterity bonus, he loses that bonus until the beginning of your next turn, in addition to losing his Dexterity bonus against your next attack.</h5><h5><b>Normal: </b>A creature you feint loses its Dexterity bonus against your next attack.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
68,Greater Grapple,Combat,Maintaining a grapple is second nature to you.,"Improved Grapple, Improved Unarmed Strike, base attack bonus +6, Dex 13.","Improved Grapple, Improved Unarmed Strike","You receive a +2 bonus on checks made to grapple a foe. This bonus stacks with the bonus granted by Improved Grapple. Once you have grappled a creature, maintaining the grapple is a move action. This feat allows you to make two grapple checks each round (to move, harm, or pin your opponent), but you are not required to make two checks. You only need to succeed at one of these checks to maintain the grapple.",Maintaining a grapple is a standard action.,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Greater Grapple (Combat)</p><div style=""clear: both;""></div></div><div><h5>Maintaining a grapple is second nature to you.<h5><b>Prerequisites: </b>Improved Grapple, Improved Unarmed Strike, base attack bonus +6, Dex 13.</h5><h5><b>Benefit: </b>You receive a +2 bonus on checks made to grapple a foe. This bonus stacks with the bonus granted by Improved Grapple. Once you have grappled a creature, maintaining the grapple is a move action. This feat allows you to make two grapple checks each round (to move, harm, or pin your opponent), but you are not required to make two checks. You only need to succeed at one of these checks to maintain the grapple.</h5><h5><b>Normal: </b>Maintaining a grapple is a standard action.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
69,Greater Overrun,Combat,Enemies must dive to avoid your dangerous move.,"Improved Overrun, Power Attack, base attack bonus +6, Str 13.","Improved Overrun, Power Attack","You receive a +2 bonus on checks made to overrun a foe. This bonus stacks with the bonus granted by Improved Overrun. Whenever you overrun opponents, they provoke attacks of opportunity if they are knocked prone by your overrun.",Creatures knocked prone by your overrun do not provoke an attack of opportunity.,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Greater Overrun (Combat)</p><div style=""clear: both;""></div></div><div><h5>Enemies must dive to avoid your dangerous move.<h5><b>Prerequisites: </b>Improved Overrun, Power Attack, base attack bonus +6, Str 13.</h5><h5><b>Benefit: </b>You receive a +2 bonus on checks made to overrun a foe. This bonus stacks with the bonus granted by Improved Overrun. Whenever you overrun opponents, they provoke attacks of opportunity if they are knocked prone by your overrun.</h5><h5><b>Normal: </b>Creatures knocked prone by your overrun do not provoke an attack of opportunity.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
